description,Zeitkonstante,Raumlufttemperatur Auslegung Kuehlung (Sommer),Raumlufttemperatur Auslegung Heizen (Winter),Nettogeschossflaeche,Thermische Gebaeudehuellflaeche,Glasanteil,U-Wert opake Bauteile,U-Wert Fenster,Abminderungsfaktor fuer Fensterrahmen,Aussenluft-Volumenstrom (pro NGF),Aussenluft-Volumenstrom durch Infiltration,Temperatur-Aenderungsgrad der Waermerueckgewinnung,"Waermeeintragsleistung Personen (bei 24.0 deg C, bzw. 70 W)",Waermeeintragsleistung der Raumbeleuchtung,Waermeeintragsleistung der Geraete,Vollaststunden pro Jahr (Personen),Jaehrliche Vollaststunden der Raumbeleuchtung,Jaehrliche Vollaststunden der Geraete,Gesamtenergiedurchlassgrad Verglasung,Gesamtenergiedurchlassgrad Verglasung und Sonnenschutz,Kosten opake Bauteile,Kosten transparente Bauteile,Emissionen opake Bauteile,Emissionen transparente Bauteile,Strahlungsleistung fuer Betaetigung Sonnenschutz
"8.3 Behandlungsraum",30,26,22,36,42,50,0.8,1.5,0.75,10,0.3,0.5,6,10.8,15,2960,3980,3360,0.65,0.2,268,420,64,50,200
"9.1 Produktion (grobe Arbeit)",35,30,18,400,494,50,0.8,1.5,0.75,10,0.3,0.5,6,10.8,15,2960,3980,3360,0.65,0.2,268,420,64,50,200
"9.2 Produktion (feine Arbeit)",35,26,20,400,494,50,0.8,1.5,0.75,10,0.3,0.5,4.7,14.7,15,1500,1560,2440,0.65,0.2,268,420,64,50,200
"9.3 Laborraum",22,26,21,70,127,50,0.8,1.5,0.75,20,0.3,0.5,4.7,16.2,25,1500,1140,2440,0.65,0.2,268,420,64,50,200
"10.1 Lagerhalle",56,NaN,18,400,494,50,0.8,1.5,0.75,1.5,0.3,NaN,2.3,4.8,NaN,2960,3940,3160,0.65,0.2,268,420,64,50,200
"11.1 Turnhalle",37,NaN,18,600,659,50,0.8,1.5,0.75,4.5,0.3,NaN,6,10.5,NaN,2120,1920,4270,0.65,0.2,268,420,64,50,200
"11.2 Fitnessraum",40,26,18,144,127,50,0.8,1.5,0.75,9,0.3,0.5,12,9.9,3,2900,3000,5710,0.65,0.2,268,420,64,50,200
"11.3 Schwimmhalle",54,30,24,400,494,50,0.8,1.5,0.75,3.6,0.3,0.5,7,11.3,3,2900,2630,5710,0.65,0.2,268,420,64,50,200
"12.1 Verkehrsflaeche",116,NaN,18,20,6,30,0.8,1.5,0.75,2,0.3,NaN,NaN,7,NaN,1400,2970,NaN,0.65,0.2,268,420,64,50,200
"12.2 Verkehrsflaeche 24 h",116,NaN,18,20,6,30,0.8,1.5,0.75,2,0.3,NaN,NaN,12.3,NaN,2040,6440,NaN,0.65,0.2,268,420,64,50,200
"12.3 Treppenhaus",116,NaN,18,20,6,30,0.8,1.5,0.75,2,0.3,NaN,NaN,7,NaN,1400,2970,NaN,0.65,0.2,268,420,64,50,200
"12.4 Nebenraum",120,NaN,18,20,12,30,0.8,1.5,0.75,0.5,0.3,NaN,NaN,6,NaN,1400,2170,NaN,0.65,0.2,268,420,64,50,200
"12.5 Kueche, Teekueche",16,NaN,20,20,12,30,0.8,1.5,0.75,20,0.3,NaN,35,8.9,50,960,1240,1430,0.65,0.2,268,420,64,50,200
"12.6 WC, Bad, Dusche",19,NaN,21,20,12,30,0.8,1.5,0.75,16,0.3,NaN,NaN,10.5,NaN,1250,1240,NaN,0.65,0.2,268,420,64,50,200
"12.7 WC",35,NaN,20,4,6,30,0.8,1.5,0.75,8,0.3,NaN,NaN,17.2,NaN,1250,2300,NaN,0.65,0.2,268,420,64,50,200
"12.8 Garderobe, Dusche",15,NaN,21,36,21,30,0.8,1.5,0.75,20,0.3,NaN,NaN,9.9,NaN,1500,1490,NaN,0.65,0.2,268,420,64,50,200
"12.9 Parkhaus",122,NaN,NaN,400,NaN,NaN,0.8,1.5,0.75,2,0.3,NaN,NaN,2.9,2,1750,3210,2130,0.65,0.2,268,420,64,50,200
"12.10 Wasch- und Trockenraum",53,NaN,NaN,36,21,30,0.8,1.5,0.75,,0.3,NaN,NaN,9.9,25,1750,1730,1720,0.65,0.2,268,420,64,50,200
"12.11 Kuehlraum",198,2,2,36,21,NaN,0.8,1.5,0.75,,0.3,NaN,NaN,5.7,NaN,NaN,NaN,3180,0.65,0.2,268,420,64,50,200
"12.12 Serverraum",117,26,18,20,14,NaN,0.8,1.5,0.75,,0.3,0.5,NaN,6.6,150,1750,NaN,7010,0.65,0.2,268,420,64,50,200
