OFFICE
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.16
0.32
0.48
0.64
0.64
0.32
0.48
0.64
0.64
0.32
0.16
0
0
0
0
0
0
0
0
0
0
0
0
0
0.12
0.24
0.36
0.48
0.48
0.24
0.36
0.48
0.48
0.24
0.12
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.12
0.24
0.36
